index,sentence
3014,"Für die einen eine Heldentat, für die anderen eine Todsünde."
3015,"Für die kommende Woche hat die Gewerkschaft einen Streik angekündigt, sollten sich die Arbeitsbedingungen nicht verbessern."
3016,Für die nächste Testreihe ist schon alles vorbereitet.
3017,Für diese Blutgrätsche mit Schraubstollen gab es zurecht die rote Karte.
3018,Für diesen Zweck habe ich mir ein Skript geschrieben.
3019,"Für eine Hexe gehört es sich, eine Warze auf der Nase zu haben."
3020,Für eine einfache Fahrt werden astronomische Preise verlangt.
3021,Für einige Länder ist die Beantragung eines Visums viel Arbeit.
3022,Für entzündete Stellen empfiehlt sie eine antihistamine Creme.
3023,Für geübte Radfahrer sind Strecken von über hundert Kilometern am Tag keine Herausforderung.
3024,Für große x konvergiert die Funktion gegen null.
3025,Für heute Nacht wird ein Gewitter vorhergesagt.
3026,Für ihre Äußerungen erntete sie viel Spott und Hohn.
3027,"Für jede Farbe hat Tina einen Buntstift, nur einer in beige fehlt."
3028,Für jede Überquerung der Brücke musste bezahlt werden.
3029,Für klaustrophobe Menschen wie Sibylle wäre das nichts.
3030,Für mehrere Stunden sogar.
3031,Für solche Zwecke hat Nina einen Diener.
3032,"Für unsere Patienten ist es wichtig, dass Sie Gebärdensprache zumindest verstehen."
3033,Für viele ist Europa das Paradies auf Erden.
3034,Für welche Personengruppen ist der Eintritt ermäßigt?
3035,Für zweihundert-fünfzehn Millionen Sprecher ist Bengalisch die Muttersprache.
3036,Für zweihundertfünfzehn Millionen Sprecher ist Bengalisch die Muttersprache.
3037,"Fürchtet euch nicht, sprach der Bengel und griff an."
3038,Fürs Erste können wir das Bauteil auch überbrücken.
3039,"Fürs erste Date bietet sich ein öffentlicher Ort an, wie etwa ein Café."
3040,Gaborone ist die Hauptstadt von Botswana.
3041,Gaby suchte ausgiebig einen Schattenparkplatz.
3042,Gaius Julius Cäsar kannte sie jedoch noch nicht.
3043,Gandalf der Weise ist mein Lieblingscharakter in Herr der Ringe.
3044,Ganz großes Tennis
3045,Gar nicht übel für einen Anfänger.
3046,Garagentor öffnen!
3047,"Geben Sie mir bitte den Präsidenten, wir haben ein dysfunktionales Strukturfabrikat der Pflegestufe drei."
3048,Geben Sie mir bitte die Fahrkarte nach Bottrop
3049,Geben Sie mir bitte die Fahrkarte nach Schwerin
3050,Gebt einander ein Zeichen des Friedens.
3051,Gebäude aus Stein brennen nicht.
3052,Gegen Akne nehmen manche Mädchen die Pille.
3053,"Gegen Altersdiskriminierung wird nicht genug unternommen, findet Georg."
3054,Gegen Fußpilz empfehlen sich Badelatschen.
3055,Gegen Mittag muss der Frachter mit einer Nussschale kollidiert sein.
3056,Gegen das Bollwerk der argentinischen Abwehr ist kein Durchkommen.
3057,"Gegen den Sturm sind sie gewappnet, aber nicht gegen die Flut."
3058,"Gegen eine Gruppe von drei Erwachsenen, die noch dazu bewaffnet sind, hat man als einzelner keine Chance."
3059,Gegenrede erfordert Mut.
3060,Gegensätze ziehen sich an.
3061,Gegenüber des Hauptgebäudes ist das Gästehaus.
3062,Geh hinunter und hilf deinem Vater!
3063,Geh in die Ecke und schäme dich.
3064,"Gehen Sie bitte weiter, hier gibt es nichts zu sehen!"
3065,Gehen wir mal vom ungünstigsten Fall aus.
3066,Gehen wir noch mal alles durch.
3067,Gehen wir nochmal alles durch.
3068,Geht das nicht auch ohne die schwarzen Balken?
3069,Geht ihr Heiligabend in die Kirche?
3070,"Geht nicht, das ist eine Einbahnstraße."
3071,Gehört das so?
3072,Gehört das zur allgemein akzeptierten Praxis?
3073,Geld für Feuerwerkskörper auszugeben ist so eine Verschwendung!
3074,Gelinde gesagt hat Gerlinde versagt.
3075,Gelsenkirchen ist weit von Nürnberg entfernt
3076,Gemeinsam mit Elli spannt sie sie zwischen zwei Bäumen.
3077,Gemeinsam mit einem Designer diskutierten die beiden die Einrichtung der Küche.
3078,Gemeinsam rissen wir das Paket auf.
3079,Genau darauf hat sie gewartet.
3080,Genau das ist der Knackpunkt.
3081,Genau richtig.
3082,Genau so ist es auch gemeint.
3083,Genau so ist es.
3084,Genau so muss es sein.
3085,"Genau wie der Mensch strecken sich auch viele andere Säugetiere, wenn sie aufwachen."
3086,Genau!
3087,"Genaues Zielen ist erforderlich, also volle Konzentration"
3088,"Genaues Zielen ist erforderlich, also volle Konzentration!"
3089,Genervt gab der Taxifahrer auf.
3090,Genmanipuliertes Soja spielt eine wichtige Rolle bei der weltweiten Produktion von Tierfutter.
3091,"Genüsslich radelte Eckhart an den Autos vorbei, die im morgendlichen Stau nicht voran kamen."
3092,Genüsslich räkelt sie sich in der Sonne.
3093,Genüsslich schlürfte er den heißen Kakao mit Sahne.
3094,Geographischer und magnetischer Nordpol der Erde befinden sich nicht am gleichen Ort.
3095,Georg bestreicht eine Brötchenhälfte mit Leberwurst und die andere mit Marmelade.
3096,Georgetown ist die Hauptstadt von Guyana.
3097,Gerade als Frau muss das eine ziemliche Umstellung sein.
3098,"Gerade weil die Spurweite verringert wurde, liegt sie instabiler in der Kurve."
3099,"Gerade wollte ich eine Drohung aussprechen, da ging die Tür erneut auf und ein Kunde trat herein."
3100,"Gerade zu Beginn des Studiums ist es wichtig, sich mit seinen Kommilitonen zu vernetzen."
3101,"Gerald kaute auf einem Stück Knorpel herum, bis er es schließlich ausspuckte."
3102,Gerd hat keine Ahnung.
3103,Gerd leidet unter einem selektiven Mutismus.
3104,Gerda nahm eine Gießkanne und goss Wasser in die Vase.
3105,Gerhard lebt seit siebzehn Jahren im Exil in Südamerika.
3106,Gerichtete Energieformen wie Ladungsunterschiede sind viel wertvoller als chaotische wie Wärme.
3107,Gern geschehen!
3108,Gernot ist ein wahrer Überlebenskünstler.
3109,"Gerrit erinnerte sich daran, dass er einst einen Eid geschworen hatte."
3110,Geräuschvoll zog sie an Hebeln und Schaltern.
3111,Geschrieben von Michael Ende und gespielt von der Augsburger Puppenkiste.
3112,Gestern hat er sich heimlich die Fibel gemopst.
3113,Gestern zeigte das Barometer einen maximalen Ausschlag.
3114,Geteilte Freude ist doppelte Freude.
3115,Geteiltes Leid ist halbes Leid.
3116,Getränkekartons sind häufig schlecht zu recyceln.
3117,"Gewöhne dir endlich mal an, deinen Arbeitsplatz sauber und ordentlich zu hinterlassen, schnauzte Franz ihn an."
3118,"Gewöhnen Sie sich bitte an, die Dokumente in einem offenen und standardisierten Format zu speichern."
3119,Gewöhnen Sie sich schon einmal an die Notation mit dem Nabla-Operator.
3120,"Gib mal her, ich fülle den Brotkorb nach."
3121,Gib mir Rückendeckung.
3122,Gib mir den Wetterbericht für Frankfurt am Main
3123,Gib mir den Wetterbericht für Würzburg
3124,Gib mir mal den Nussknacker.
3125,Gib mir mal dieses Dingsbums mit Stiel.
3126,"Gibt es Gegenstimmen?, fragte der Wahlleiter."
3127,Gibt es Stau heute morgen?
3128,Gibt es dafür auch eine Tastenkombination?
3129,Gibt es dafür eine Vorlage?
3130,Gibt es dafür eine politisch korrekte Bezeichnung?
3131,Gibt es denn kein Limit?
3132,Gibt es eine App für diese Funktion?
3133,Gibt es eine Direktverbindung zwischen Oldenburg und Bayreuth?
3134,Gibt es eine Direktverbindung zwischen Wuppertal und Landshut?
3135,Gibt es eine Flugverbindung zwischen Mainz und Lübeck?
3136,Gibt es eine Flugverbindung zwischen Tübingen und Celle?
3137,Gibt es eine Karten-App?
3138,Gibt es eine direkte Bahnverbindung zwischen Gera und Gießen?
3139,Gibt es eine direkte Bahnverbindung zwischen Krefeld und Nordhorn?
3140,Gibt es einen Fachbegriff für diese Art von Sprachfehler?
3141,Gibt es einen Stau auf dem Weg zur Arbeit?
3142,Gibt es hier Feuerquallen?
3143,Gibt es hier Haie?
3144,Gibt es hier keinen Aschenbecher?
3145,Gibt es in Görlitz ein schönes Museum?
3146,Gibt es in Hamm ein schönes Museum?
3147,Gibt es in Mainz eine Straßenbahn?
3148,Gibt es in Saarbrücken eine Straßenbahn?
3149,Gibt es neue Meldungen?
3150,Gibt es neue Nachrichten aus Bayreuth?
3151,Gibt es neue Nachrichten aus Hattingen?
3152,Gibt es neue Nachrichten?
3153,Gibt es schon Neuigkeiten aus der Forensik?
3154,"Gibt es wirklich eine Seele, wo man sie doch nicht anfassen kann?"
3155,Gier ist die Wurzel vielen Übels.
3156,Gierig kippte er sich noch mehr von dem Zeug in den Schlund.
3157,Glauben Sie an Zufälle?
3158,Gleich haben wir die Bestie.
3159,Gleich nach der Geburt wird das Kalb von der Kuh getrennt.
3160,Gleich vier Schlepper bugsieren den Containerfrachter zu seinem Liegeplatz.
3161,Gleichzeitig ermöglichte das Gehirn die geplante Beschaffung von Nahrung.
3162,Globale Minima findet man nicht per Gradientenabstieg.
3163,Glücklicherweise ist der Untergrund an dieser Stelle sehr griffig.
3164,Glücklicherweise kam ein Jogger vorbei und konnte helfen.
3165,Glühfäden werden üblicherweise aus Wolfram hergestellt.
3166,Gott sei Dank habe ich gerade noch die Kurve gekriegt.
3167,Gott sei Dank haben wir noch ein letztes Ass im Ärmel.
3168,Gott sei Dank hat Judith einen Kompass.
3169,Gott sei Dank!
3170,Gott sieht alles.
3171,Gregor ist Experte in Sachen Schädlingsbekämpfung.
3172,Greifswald hat viele Sehenswürdigkeiten
3173,Grete muss jeden Pfennig zweimal umdrehen.
3174,Große Investitionen in seine Entwicklung lohnen sich nicht mehr.
3175,Große Pilze sind Netze von der Fläche eines Waldes.
3176,Großes Indianerehrenwort!
3177,"Grund für den Absturz war, dass eine Textdatei mit Windows-Zeilenumbrüchen gespeichert war."
3178,Grundlagenforschung ist wichtig.
3179,Grundsätzlich unterscheiden wir zwischen dem indirekten und dem induktiven Beweis.
3180,Grönland ist die größte Insel der Erde.
3181,Grönland ist ein autonomer Bestandteil des Königreichs Dänemark.
3182,Guatemala-Stadt ist die Hauptstadt von Guatemala.
3183,"Guck mal, wie alle zum Rhythmus abgehen."
3184,"Guck mal, wie knuffig!"
3185,"Gut Ding will Weile haben, beschwichtigte Edmund."
3186,"Gut ausgestattet zu sein, erhöht zumindest seinen Coolness-Faktor."
3187,"Gut, dass ich den Beleg nicht weggeworfen habe, schmunzelte er in sich hinein."
3188,"Gut, wie wäre es mit einem anderen Vorschlag?"
3189,Gute Frage! Was kostet eine Dose Thunfisch?
3190,Gute Nacht!
3191,Gute Nacht.
3192,Guten Abend.
3193,Guten Appetit!
3194,Guten Morgen zusammen!
3195,"Guten Morgen, Frau Schäfer, raunte die ganze Klasse wenig motiviert im Chor."
3196,Guten Morgen.
3197,"Guten Tag, die Fahrscheine bitte."
3198,"Guten Tag, ich möchte meinen Sohn Kevin aus dem Bällebad abholen."
3199,Guten Tag.
3200,"Guter Einwand, Ulrich."
3201,Gutes Kauen hilft der Verdauung.
3202,Gähnen ist auch übers Telefon ansteckend.
3203,"Götsch hat versucht, es mir anzudrehen, aber ich wollte es nicht."
3204,Göttingen ist eine klassische Studentenstadt.
3205,"Günther ist ausgesprochen introvertiert, also verschrecken Sie ihn nicht."
3206,Günther wohnt in der Südstadt.
3207,H-Milch schmeckt einfach eklig.
3208,Hab dich!
3209,"Habe Mut, dich deines eigenen Verstandes zu bedienen!"
3210,Habe ich denn eine Wahl?
3211,Habe ich gerade eine Verbindung?
3212,Habe ich noch Bier im Kühlschrank?
3213,Habe ich noch Bier?
3214,Habe ich noch Joghurt im Kühlschrank?
3215,Habe ich noch Joghurt?
3216,Habe ich noch Milch im Kühlschrank?
3217,Habe ich noch Milch?
3218,Habe ich noch Nudeln?
3219,Habe ich noch Reis?
3220,Habe ich noch Sahne im Kühlschrank?
3221,Habe ich noch Sahne?
3222,Habe ich noch Tomatensoße?
3223,Habe ich noch saure Sahne im Kühlschrank?
3224,Habe ich noch saure Sahne?
3225,Habe ich noch süße Sahne im Kühlschrank?
3226,Habe ich noch süße Sahne?
3227,Habe ich richtig gehört?
3228,Haben Maschinen Gefühle?
3229,Haben Sie Alkohol getrunken oder Drogen konsumiert?
3230,Haben Sie das Vorfahrtsschild nicht gesehen?
3231,Haben Sie ein Rezept?
3232,Haben Sie es schon mit Nachhilfe probiert?
3233,Haben Sie noch den Kassenbon?
3234,Haben Sie schon Frühlingsgefühle?
3235,Haben Sie schon einmal den Keilriemen gewechselt?
3236,Haben Sie schon unser neuestes Puder ausprobiert?
3237,"Haben Sie schon versucht, das Gerät aus- und wieder einzuschalten?"
3238,Haben Sie was gesagt?
3239,Haben Sie zollpflichtige Ware dabei?
3240,Haben wir Puderzucker auf Vorrat?
3241,Haben wir ein Ersatzrad dabei?
3242,Haben wir einen Behälter für die Walnussschale?
3243,Haben wir einen Plan B?
3244,Haben wir es eher mit isotroper oder mit anisotroper Diffusion zu tun?
3245,Haben wir genug Schnee in den Bergen?
3246,Haben wir gerade eine Verbindung?
3247,Haben wir mittlerweile mehr Plastik als Fische im Meer?
3248,Haben wir noch Bier im Kühlschrank?
3249,Haben wir noch Bier?
3250,Haben wir noch Joghurt im Kühlschrank?
3251,Haben wir noch Joghurt?
3252,Haben wir noch Milch im Kühlschrank?
3253,Haben wir noch Milch?
3254,Haben wir noch Nudeln?
3255,Haben wir noch Reis?
3256,Haben wir noch Sahne im Kühlschrank?
3257,Haben wir noch Sahne?
3258,Haben wir noch Tomatensoße?
3259,Haben wir noch genügend Rohstoffe?
3260,Haben wir noch saure Sahne im Kühlschrank?
3261,Haben wir noch saure Sahne?
3262,Haben wir noch süße Sahne im Kühlschrank?
3263,Haben wir noch süße Sahne?
3264,Habt ihr eine Zeckenzange?
3265,Habt ihr euch das auch gut überlegt?
3266,Habt ihr schon Zähne geputzt?
3267,Habt ihr schon mal Insekten gegessen?
3268,Halb so schlimm.
3269,"Hallo, in diesem Video nur ganz kurz ein kleiner Trick."
3270,"Hallo, möchten Sie auch zur Sprechstunde?"
3271,Halt dich gut am Geländer fest.
3272,Halt die Backen.
3273,Halt mal kurz meine Angel.
3274,"Halt still, sonst könnte es wehtun."
3275,Halten Sie sich einfach an unsere Richtlinien.
3276,Handelt es sich also um eine kraftschlüssige oder formschlüssige Verbindung?
3277,"Hannelore isst kein Nutella mehr, denn es enthält Palmöl."
3278,Hanoi ist die Hauptstadt von Vietnam.
3279,Hanoi ist nach Ho-Chi-Minh-Stadt die zweitgrößte Stadt Vietnams.
3280,Hans wechselte das Blatt von der Stichsäge.
3281,Hans-Peter spielt Piano.
3282,Harald hat sich für eine Magenverkleinerung entschieden.
3283,"Harald wird nicht müde zu betonen, dass die Menschen tatsächlich auf dem Mond waren."
3284,Harare ist die Hauptstadt von Simbabwe.
3285,Hargeysa ist die Hauptstadt von Somaliland.
3286,Hartmut hat zwei linke Hände.
3287,"Hartmut, du wirst alt."
3288,Hast du Christine gesehen?
3289,Hast du Durst?
3290,Hast du Tomaten auf den Augen?
3291,Hast du auch eine Quelle für deine Behauptungen?
3292,Hast du auch so ein Lampenfieber?
3293,Hast du auch solche Schmetterlinge im Bauch?
3294,Hast du auch wirklich abgeschlossen?
3295,Hast du das ganz alleine gemacht?
3296,Hast du das mit der Variation der Konstanten verstanden?
3297,Hast du dein Ticket nach Cottbus schon gebucht?
3298,Hast du dein Ticket nach Görlitz schon gebucht?
3299,Hast du den Osterhasen schon einmal gesehen?
3300,Hast du die Papiertonne schon an die Straße gestellt?
3301,"Hast du eine Ahnung, wie billig Zahnpasta ist?"
3302,"Hast du eine bestimmte Reihenfolge, in der du das machst?"
3303,Hast du einen Spitznamen?
3304,Hast du mal Feuer?
3305,Hast du mal eine Feile oder ein Stück Schmirgelpapier?
3306,Hast du mal einen Anspitzer?
3307,Hast du mein Hörgerät?
3308,Hast du meine Mail bekommen?
3309,"Hast du noch Kontakt zu Mandy?, erkundigte sich Sebastian."
3310,Hast du noch eine Ersatzpatrone?
3311,Hast du noch was von dem Spray?
3312,Hast du noch was zu trinken?
3313,"Hast du schon dein Seepferdchen gemacht, Alex?"
3314,"Hast du schon gesehen, Andreas hat sich ein weiteres Tattoo stechen lassen."
3315,Hast du schon mal eine Rohrpost in Aktion gesehen?
3316,Hast du spezielle Tipps für gutes Essen in Aachen?
3317,Hast du spezielle Tipps für gutes Essen in Worms?
3318,Hast du uns inzwischen für den Anfängerkurs Karate angemeldet?
3319,Hast du vielleicht ein Taschentuch für mich?
3320,Hast du was von dem Stoff dabei?
3321,Hat Bayreuth einen Bahnhof?
3322,Hat Dresden einen Flughafen?
3323,Hat Flensburg mehr Einwohner als Schweinfurt?
3324,Hat Frankfurt mehr Einwohner als Gießen?
3325,Hat Friederike das Buch wirklich schon durch?
3326,Hat Osnabrück einen Flughafen?
3327,Hat Stuttgart einen Bahnhof?
3328,Hat dein Schwiegervater nicht so ein antikes Teleskop auf dem Dachboden?
3329,Hat denn keiner einen Notruf abgesetzt?
3330,Hat der Hauptmann seine Erlaubnis gegeben?
3331,Hat er irgendwem davon erzählt?
3332,Hat es letzte Nacht in Magdeburg geregnet?
3333,Hat es letzte Nacht in Regensburg geregnet?
3334,"Hat euch mal jemand gesagt, dass ihr unglaublich mitteilungsbedürftig seid?"
3335,Hat jemand eine Frage zur Vorlesung?
3336,"Hat jemand eine violette Haarspange gesehen?, fragt Elli in die Runde."
3337,Hat mir Theo in letzter Zeit eine E-Mail geschrieben?
3338,Hat sich jetzt jeder in die Liste eingetragen?
3339,Hat sie sich ja auch selbst eingebrockt.
3340,"Hattest du als Kind auch immer Angst, dass unter deinem Bett ein Krokodil sein könnte?"
3341,Hau bloß ab
3342,Hau bloß ab!
3343,Hauke nimmt zum ersten Mal an der Schauspiel-AG teil.
3344,Hauptsache der Ball geht übers Netz.
3345,Hauptsache wir hatten unseren Spaß dabei.
3346,Hausaufgabe ist so ein negativ besetztes Wort.
3347,Hauskatzen haben viele Vögel auf dem Gewissen.
3348,Havanna ist die Hauptstadt von Kuba.
3349,"He, es ist Rot!"
3350,"He, laut Drehbuch küssen sich Valentina und Manuel erst im letzten Akt!"
3351,Heidi wandte ihr Gesicht ab.
3352,Heiko hatte einen fabelhaften Einfall.
3353,Heiner bestellt sich ein Wiener Schnitzel mit Pommes.
3354,Heiner möchte den Flug stornieren.
3355,"Heinrich sagte, er möchte Nachrichtensprecher werden."
3356,Heinz zog eine Augenbraue hoch.
3357,Heiß laufende Trommelbremsen neigen zur dauerhaften Verformung.
3358,"Heißt du wirklich Uli, oder ist das die Abkürzung für Ulrich?"
3359,Helene teilt unsere Ansicht nicht.
3360,"Helft bitte mit, die Tanne zu schmücken."
3361,Helgas Rede war im Wesentlichen Selbstbeweihräucherung.
3362,Helge glaubt auch an solche Verschwörungstheorien.
3363,"Helge spielt immer alle Zollstöcke kaputt, sobald er sie in die Finger bekommt."
3364,Helgoland wird von unseren Windkraftmonteuren oft als Zwischenstation genutzt.
3365,"Helmut tankt E-zehn und versteht nicht, warum Dimitri diese Spritsorte boykottiert."
3366,Helsinki ist die Hauptstadt von Finnland.
3367,Henning ist ein herzensguter Mensch.
3368,Henning sucht in dem Kästchen nach einer passenden Mutter für die Schraube.
3369,Henrik hat bereits Taucherbrille und Schnorchel aufgesetzt.
3370,Heraus kommt eine homogene Emulsion.
3371,"Herbert öffnet den Spülkasten, um nachzuschauen was da los ist."
3372,Herd vorheizen.
3373,Hermann schlug die Hände über dem Kopf zusammen.
3374,Herr Bauer fühlte sich an seine Ausbildung zum Elektriker erinnert.
3375,"Herr Burgdorf war gerade dabei, den Boden zu schrubben."
3376,Herr Bäcker nahm Platz in seinem Ledersessel.
3377,Herr Böttcher ging mit seinem Schäferhund spazieren.
3378,Herr Förster sieht völlig zerzaust aus.
3379,Herr Hildebrand sitzt vor einem Kreuzworträtsel und sucht ein Dschungeltier mit fünf Buchstaben.
3380,Herr Hoppe ist bei solchen Angelegenheiten immer sehr pingelig.
3381,Herr Kunze hat gerade eine Blinddarm-OP hinter sich.
3382,Herr Lurch entblößte sein hageres Gesicht.
3383,"Herr Ober, wir möchten zahlen."
3384,"Herr Ober, zahlen bitte!"
3385,"Herr Oberleutnant Schulze, live und in Farbe!"
3386,Herr Peters will ein Auto ohne überflüssigen Schnickschnack.
3387,Herr Rahn hat gekräuseltes Haar.
3388,Herr Schulze bereitet ein Projekt für die Firmlinge vor.
3389,Herr Stolpe ist ein guter Musiklehrer.
3390,"Herrlich, dieses Wetter!"
3391,"Herrschaftszeiten, hier wird nicht geflucht!"
3392,Hertha gab uns einen Überblick über die verschiedenen Fangmethoden.
3393,"Herzlichen Glückwunsch, Sie haben gewonnen!"
3394,Heul doch!
3395,Heute Abend fährt niemand mehr von Marburg nach Erlangen
3396,Heute Abend fährt niemand mehr von Offenbach nach Reutlingen
3397,Heute Mittag bin ich mit meinen Kollegen zum Döner um die Ecke gegangen.
3398,Heute Nachmittag gehe ich schon mit Florian angeln.
3399,Heute Nachmittag hält Frank einen Vortrag über Spezialeffekte in Hollywood-Filmen.
3400,Heute geht auch das automatisch und elektrisch.
3401,Heute geht es um den Einzug ins Champions-League-Finale.
3402,Heute gibt es Asterix und Kleopatra im Fernsehen.
3403,Heute gibt es Pfannkuchen.
3404,Heute haben wir Windstärke fünf mit teils orkanartigen Böen.
3405,Heute hat der Kahn aber ordentlich Seegang!
3406,"Heute sind Operationen alltäglich, die früher undenkbar waren."
3407,Heute spielt Schalke gegen Hannover Sechsundneunzig und zwar in Gelsenkirchen.
3408,Heute wurde der Titelverteidiger von einem absoluten Außenseiter deklassiert.
3409,Heutzutage lassen sich beide Brücken kostenlos überqueren.
3410,"Heutzutage wissen die Kinder wahrscheinlich gar nicht mehr, was eine Kassette ist."
3411,Hier befinden sich nur temporäre Dateien.
3412,Hier beginnt ein Naturschutzgebiet.
3413,Hier geht es um die Wurst.
3414,Hier gibt es doch Öffis.
3415,Hier gibt es gefühlt mehr Ratten als in der Kanalisation.
3416,"Hier gibt es viele Handtaschendiebe, also seien Sie wachsam."
3417,"Hier gilt die Baumhausregel: Wer nicht ohne Hilfe hineinkommt, hat auch nichts zu sagen."
3418,Hier gilt rechts vor links.
3419,Hier haben die Handwerker ganz klar gepfuscht.
3420,Hier haben wir eine ganz einfache Aufgabe zum schiefen Wurf.
3421,Hier hast du einige Sorten zum Ausprobieren.
3422,Hier ist der Teufel los
3423,Hier ist der Teufel los!
3424,Hier ist der Vorgang anschaulich illustriert.
3425,Hier ist meine Wunschliste.
3426,Hier kann man sehr schön die Bremsschwerter sehen.
3427,Hier muss eine Verwechslung vorliegen.
3428,Hier müssen Sie unterschreiben.
3429,Hier müsste endlich etwas gegen das Lohndumping unternommen werden.
3430,Hier müsste irgendwo eine Pinzette drin sein.
3431,Hier poppt immer so ein Fenster auf.
3432,Hier sagt der Hase dem Igel gute Nacht.
3433,Hier sehen Sie unsere Kronjuwelen.
3434,"Hier sieht man das Schlauchboot der Greenpeace-Aktivisten, das nur einen fünf PS Außenbordmotor hat."
3435,Hier sind die Ergebnisse der Abgasprüfung.
3436,Hier sind wir nicht mehr zuständig.
3437,"Hier sind zehn Dinge, die extravertierte Menschen nie verstehen werden."
3438,Hier strömt Argon oder irgendein anderes Edelgas aus.
3439,"Hier wird fälschlicherweise der Eindruck vermittelt, man hätte die eierlegende Wollmilchsau gefunden."
3440,Hier wurde jetzt eine neue Seilbahn gebaut.
3441,Hier wäre noch Platz für eine Mikrowelle.
3442,"Hier, nimm meine Hand!"
3443,Hierfür gibt es kein Patentrezept.
3444,Hiermit legen wir das Fundament für zukünftige Innovationen.
3445,"Hierzu trägt man einen Ganzkörperanzug, in den viele Elektroden eingenäht sind."
3446,Hierzulande stoßen die Vorschläge des Pontifex auf nicht viel Zustimmung.
3447,Hilf mir bitte beim Schälen der Kartoffeln.
3448,Hilf mir mal.
3449,"Hin und wieder verenden Vögel, weil sie die Reflexion für den echten Himmel halten."
3450,"Hinter dem Kühlschrank muss etwas Platz sein, damit die Luft zirkulieren kann."
3451,Hinter dieser Klausel verbergen sich versteckte Kosten.
3452,Hinterher ist man immer schlauer.
3453,Hinzufügen!
3454,Historiker datieren das Ereignis auf den vierzehnten Juli siebzehnhundertdreiundvierzig.
3455,"Hmm, das riecht gut."
3456,Hoch soll sie leben!
3457,"Hoffen wir, dass er noch mal ein Auge zudrücken wird."
3458,"Hoffen wir, dass er nochmal ein Auge zudrücken wird."
3459,Hoffentlich geht der Plan auf.
3460,Hoffentlich ist diese Lösung von langfristiger Wirkung.
3461,Hoffentlich kann der einfallsreiche Unternehmer hier ein paar Akzente setzen.
3462,Hoffentlich muss ich nie ins Heim!
3463,Hoffentlich stürzt sie nicht ein.
3464,Holger hatte eine unbeschwerte Kindheit.
3465,Holland hat sich nicht für die WM qualifiziert.
3466,"Hongkong ist, wie Macau, eine Sonderverwaltungszone der Volksrepublik China."
3467,Honiara ist die Hauptstadt der Salomonen.
3468,Honigsorten unterscheiden sich im Verhältnis von Fruktose zu Glukose.
3469,Horst und Ingo lasen abwechselnd die Fürbitten.
3470,Hubschrauber können auch beim Ausfall des Motors noch sicher landen.
3471,Hält dieser Zug auch am Hauptbahnhof?
3472,Hätte das nicht auffallen müssen?
3473,"Hätte einem der gesunde Menschenverstand gesagt, dass tonnenschwere Flugzeuge aus Metall fliegen können?"
3474,Hätte ich mir ja auch denken können.
3475,"Hätte, hätte, Fahrradkette."
3476,Hör auf zu spoilern!
3477,Hört euch die weisen Worte meines Freundes Leon an!
3478,"Hört zu, ihr Arbeiter und Bauern, bald gibt es nichts mehr zu bedauern."
3479,Hüte deine Zunge!
3480,Ich aber nicht!
3481,Ich arbeite für Sektor sieben.
3482,"Ich baue eine Machtübernahmemaschine, antwortete ich unverzüglich."
3483,"Ich beeile mich, versprochen."
3484,"Ich bezweifle, dass dieses Gesetz in Karlsruhe als verfassungsgemäß anerkannt wird."
3485,Ich bin dein größter Fan!
3486,"Ich bin doch nicht blöd, antwortete der Alte und wusste nicht, ob er beleidigt sein sollte."
3487,Ich bin ein Fan von mechanischen Notausschaltern.
3488,Ich bin etwas skeptisch.
3489,Ich bin gerade erst in Aachen angekommen
3490,Ich bin gerade erst in Göttingen angekommen
3491,"Ich bin gerade voll im Workflow, teilte Alexandra mit."
3492,Ich bin mit Ihrer Korrektur nicht einverstanden.
3493,"Ich bin nicht befugt, Ihnen darüber Auskunft zu erteilen."
3494,"Ich bin nicht der Penner, für den Sie mich halten."
3495,Ich bin nächste Woche in Oberhausen
3496,Ich bin nächste Woche in Salzgitter
3497,"Ich bin platt wie eine Flunder, stieß Markus erschöpft aus und ließ sich aufs Sofa fallen."
3498,Ich bin sofort bei dir.
3499,Ich bin unermesslich reich.
3500,"Ich bitte Sie, das ist doch lächerlich!"
3501,Ich brauche ein Geschenk für meinen Vater.
3502,Ich brauche ein neues Buch.
3503,Ich brauche einen Lagebericht.
3504,Ich brauche jetzt etwas Bewegung.
3505,Ich brauche was Richtiges gegen den Hunger.
3506,Ich bringe euch bis nach Fulda
3507,Ich bringe euch bis nach Hamburg
3508,Ich bräuchte ein Geschenk für meine Mutter.
3509,"Ich bräuchte eine Handcreme gegen trockene Haut, erklärte Simone ihr Anliegen."
3510,"Ich dachte, da lernt man nur Saufen."
3511,"Ich dachte, er hätte sich vorgenommen, das nicht mehr zu tun."
3512,"Ich denke das Risiko können wir in Kauf nehmen, urteilte Ulrike."
3513,Ich denke mir eine Zahl zwischen eins und einhundert aus und ihr müsst sie raten.
3514,"Ich denke nicht, dass die Wand so bemalt werden sollte."
3515,"Ich denke, das ist ein kulturelles Ding."
3516,"Ich denke, die Kreatur ist bösartig."
3517,"Ich denke, insgeheim hat Stefanie sich schon so etwas gedacht."
3518,"Ich denke, was wir hören, ist bloß ein Echo."
3519,Ich drücke es mal so aus.
3520,Ich erkenne eure Not und teile mit euch mein letztes Brot.
3521,"Ich ermahnte Herrn Knolle, Wort zu halten."
3522,"Ich erwarte gar kein Mitleid, aber ich möchte, dass du mich verstehst."
